"","facet","rate","nthreads","cc_ph","cc","zipf","commute_ratio","phasing","timeout_scaling","throughput","op_timeouts"
"1","50% update
zipf: 0.6",100,4,"without transactions","boosting",0.6,"0.5","off",1000,6328.83655411953,0
"2","50% update
zipf: 0.6",100,16,"without transactions","boosting",0.6,"0.5","off",1000,25307.8132740215,0
"3","50% update
zipf: 0.6",100,32,"without transactions","boosting",0.6,"0.5","off",1000,50520.9818734123,0
"4","50% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0.5","off",1000,72708.3367751869,0
"5","50% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"0.5","off",1000,73435.5336842556,47
"6","0% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0","off",1000,92079.4680998567,0
"7","20% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0.2","off",1000,79973.5717164509,1
"8","40% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0.4","off",1000,74184.2209594291,1
"9","60% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0.6","off",1000,70694.7106804331,4
"10","80% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0.8","off",1000,67769.4460876491,4
"11","100% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"1","off",1000,63865.9751215658,0
"12","0% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"0","off",1000,96187.4160499355,26
"13","20% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"0.2","off",1000,81296.0064839861,45
"14","40% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"0.4","off",1000,76118.3119943316,18
"15","60% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"0.6","off",1000,72019.5134814424,51
"16","80% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"0.8","off",1000,68034.0257171118,56
"17","100% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"1","off",1000,64573.7591949646,31
"28","50% update
zipf: 0.6",100,4,"without transactions","boosting",0.6,"0.5","off",1000,6331.25728559534,0
"29","50% update
zipf: 0.6",100,16,"without transactions","boosting",0.6,"0.5","off",1000,25302.7759029415,0
"30","50% update
zipf: 0.6",100,32,"without transactions","boosting",0.6,"0.5","off",1000,50510.9014640293,0
"31","50% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0.5","off",1000,71836.3138221754,0
"32","50% update
zipf: 0.6",100,96,"without transactions","boosting",0.6,"0.5","off",1000,75468.2952713993,35
"33","0% update
zipf: 0.6",100,64,"without transactions","boosting",0.6,"0","off",1000,91604.5616328902,0
