"","name","nthreads","cc","phasing","disable_txns","cc_ph","txn_retries","txn_count","total_time","throughput","avg_latency_ms","conflicts","conflicts_total","server_acquire_attempts","server_acquire_first_success"
"1","v0.28.2-sampa",96,"boosting
 + combining","on",0,"boosting
 + combining
 + phasing",61248,1415856,30.262,46786.597052409,1.63797730842685,273961,1599172,334981,266490
"2","v0.28.2-sampa",96,"r/w locks","on",0,"r/w locks
 + phasing",263712,842576,30.9231,27247.4622531376,1.580201667268,132758,988908,227127,193938
"3","v0.28.2-sampa",96,"boosting","on",0,"boosting
 + phasing",85920,1335680,30.2774,44114.7522574594,1.69806390752276,247580,1584661,339525,277630
"4","v0.28.2-sampa",96,"r/w locks","off",0,"r/w locks
(baseline)",1276576,229136,30.9805,7396.13627927245,4.45966587528804,1654653,1916842,479210,65547
"5","v0.28.2-sampa",96,"boosting","off",0,"boosting",930656,642832,30.4666,21099.5647692883,4.22989210244667,1394602,2087603,521900,173250
"6","v0.28.2-sampa",96,"boosting
 + combining","off",0,"boosting
 + combining",799648,768992,30.4028,25293.459812912,3.59581113977779,1285972,2024942,506235,184742
"7","v0.28.2-sampa",96,"r/w locks","off",0,"r/w locks
(baseline)",1311616,236176,30.9308,7635.6253313849,4.36183185421042,1701668,1972697,493174,67757
"8","v0.28.2-sampa",96,"boosting","off",0,"boosting",941696,647216,30.3658,21313.9782255037,4.19407122197226,1409241,2106451,526612,174302
"9","v0.28.2-sampa",96,"r/w locks","on",0,"r/w locks
 + phasing",270560,816064,30.9152,26396.8533278129,1.56746284605129,130876,962676,220928,188209
"10","v0.28.2-sampa",96,"boosting","on",0,"boosting
 + phasing",101472,1274512,30.2444,42140.4293026147,1.7858521536086,230647,1506834,325259,267597
"11","v0.28.2-sampa",96,"boosting
 + combining","off",0,"boosting
 + combining",792960,751360,30.334,24769.5655040549,3.69202512776831,1272825,1994744,498686,180479
"12","v0.28.2-sampa",96,"boosting
 + combining","on",0,"boosting
 + combining
 + phasing",72768,1366656,30.2445,45186.9265486287,1.70233767678187,260745,1542010,324700,259514
"13","v0.28.2-sampa",96,"r/w locks","off",0,"r/w locks
(baseline)",1271488,229808,30.9652,7421.49251417721,4.45867854904964,1649393,1911999,477999,65651
"14","v0.28.2-sampa",96,"boosting","off",0,"boosting",908384,649600,30.3684,21390.6560767113,4.18699199507389,1371285,2070586,517646,174825
