"","name","nclients","nthreads","cc","phasing","cc_ph","rate","alpha","commute_ratio","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed"
"1","v0.28.1-sampa",4,4,"boosting","off","without
transactions",100,"0.6","0.5",1000,6328.83655411953,0,0.118109109277656,0
"2","v0.28.1-sampa",4,16,"boosting","off","without
transactions",100,"0.6","0.5",1000,25307.8132740215,0,0.10196356881621,0
"3","v0.28.1-sampa",4,32,"boosting","off","without
transactions",100,"0.6","0.5",1000,50520.9818734123,0,0.143615764322848,0
"4","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"0.6","0.5",1000,72708.3367751869,0,0.735497815038064,0
"5","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"0.6","0.5",1000,73435.5336842556,47,1.16045652361255,0
"28","v0.28.1-sampa",4,4,"boosting","off","without
transactions",100,"0.6","0.5",1000,6331.25728559534,0,0.120545934685633,0
"29","v0.28.1-sampa",4,16,"boosting","off","without
transactions",100,"0.6","0.5",1000,25302.7759029415,0,0.114959843579178,0
"30","v0.28.1-sampa",4,32,"boosting","off","without
transactions",100,"0.6","0.5",1000,50510.9014640293,0,0.154698036805949,0
"31","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"0.6","0.5",1000,71836.3138221754,0,0.734554769563713,0
"32","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"0.6","0.5",1000,75468.2952713993,35,1.14509890923828,0
"55","v0.28.1-sampa",4,4,"boosting","off","without
transactions",100,"0.6","0.5",1000,6327.310273619,0,0.115848458687779,0
"56","v0.28.1-sampa",4,16,"boosting","off","without
transactions",100,"0.6","0.5",1000,25302.6323663371,0,0.10428754624958,0
"57","v0.28.1-sampa",4,32,"boosting","off","without
transactions",100,"0.6","0.5",1000,50525.1428514577,0,0.154828292375551,0
"58","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"0.6","0.5",1000,73255.8339336343,0,0.735744134183044,0
"59","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"0.6","0.5",1000,75064.1826313066,46,1.15600084296302,0
"82","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,6334.85006961886,0,0.145902742722531,0
