"","name","nclients","nthreads","cc","phasing","cc_ph","rate","facet","zipf","commute_ratio","timeout_scaling","throughput","op_timeouts","txn_failed"
"1","v0.28.1-sampa",4,4,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6328.83655411953,0,0
"2","v0.28.1-sampa",4,16,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,25307.8132740215,0,0
"3","v0.28.1-sampa",4,32,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,50520.9818734123,0,0
"4","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,72708.3367751869,0,0
"5","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,73435.5336842556,47,0
"18","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"50% update
zipf: 0.2",0.2,"0.5",1000,74304.9574841454,0,0
"19","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"50% update
zipf: 0.4",0.4,"0.5",1000,74451.4935236585,0,0
"20","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"50% update
zipf: 0.8",0.8,"0.5",1000,69610.7192670496,0,0
"21","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"50% update
zipf: 1",1,"0.5",1000,61428.5336366763,0,0
"22","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"50% update
zipf: 1.2",1.2,"0.5",1000,50605.4439999868,1,0
"23","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"50% update
zipf: 0.2",0.2,"0.5",1000,76752.1818229757,24,0
"24","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"50% update
zipf: 0.4",0.4,"0.5",1000,75284.9360125767,23,0
"25","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"50% update
zipf: 0.8",0.8,"0.5",1000,70414.0513740176,48,0
"26","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"50% update
zipf: 1",1,"0.5",1000,60104.9517294607,66,0
"27","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"50% update
zipf: 1.2",1.2,"0.5",1000,50970.7504298495,84,0
"28","v0.28.1-sampa",4,4,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,6331.25728559534,0,0
"29","v0.28.1-sampa",4,16,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,25302.7759029415,0,0
"30","v0.28.1-sampa",4,32,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,50510.9014640293,0,0
"31","v0.28.1-sampa",4,64,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,71836.3138221754,0,0
"32","v0.28.1-sampa",4,96,"boosting","off","without
transactions",100,"50% update
zipf: 0.6",0.6,"0.5",1000,75468.2952713993,35,0
