"","name","nclients","nthreads","cc","rate","mix","alpha","lambda","nusers","ncategories","nregions","phasing","cc_ph","timeout_scaling","throughput","state","avg_latency_ms"
"1","v0.29-sampa","4",2,"r/w locks",100,"bid-heavy",1,"20","5000",40,62,"on","r/w locks
 + phasing",5000,7875.78645424698,"u5000_z1.2_l20",0.122933164128596
"2","v0.29-sampa","4",2,"r/w locks",100,"bid-heavy",1,"20","5000",40,62,"on","r/w locks
 + phasing",5000,7875.78645424698,"u5000_z1.2_l20",0.122933164128596
"3","v0.29-sampa","4",2,"boosting",100,"bid-heavy",1,"20","5000",40,62,"on","boosting
 + phasing",5000,8369.86244303175,"u5000_z1.2_l20",0.095384122256554
"4","v0.29-sampa","4",2,"boosting
 + combining",100,"bid-heavy",1,"20","5000",40,62,"on","boosting
 + combining
 + phasing",5000,8330.8920694752,"u5000_z1.2_l20",0.101156948089355
"5","v0.29-sampa","4",4,"r/w locks",100,"bid-heavy",1,"20","5000",40,62,"on","r/w locks
 + phasing",5000,15230.5552084635,"u5000_z1.2_l20",0.13277640191823
"6","v0.29-sampa","4",4,"boosting",100,"bid-heavy",1,"20","5000",40,62,"on","boosting
 + phasing",5000,16646.327849295,"u5000_z1.2_l20",0.0940459794045579
"7","v0.29-sampa","4",4,"boosting
 + combining",100,"bid-heavy",1,"20","5000",40,62,"on","boosting
 + combining
 + phasing",5000,16650.3835311523,"u5000_z1.2_l20",0.0942340020172588
"8","v0.29-sampa","4",8,"r/w locks",100,"bid-heavy",1,"20","5000",40,62,"on","r/w locks
 + phasing",5000,28998.4190737338,"u5000_z1.2_l20",0.149013626545338
"9","v0.29-sampa","4",8,"boosting",100,"bid-heavy",1,"20","5000",40,62,"on","boosting
 + phasing",5000,32897.7765785393,"u5000_z1.2_l20",0.0929214427477824
"10","v0.29-sampa","4",8,"boosting
 + combining",100,"bid-heavy",1,"20","5000",40,62,"on","boosting
 + combining
 + phasing",5000,32903.9846199468,"u5000_z1.2_l20",0.0950261456704714
"11","v0.29-sampa","4",16,"r/w locks",100,"bid-heavy",1,"20","5000",40,62,"on","r/w locks
 + phasing",5000,28700.2003227144,"u5000_z1.2_l20",0.451270527566584
"12","v0.29-sampa","4",16,"boosting",100,"bid-heavy",1,"20","5000",40,62,"on","boosting
 + phasing",5000,55032.8194778856,"u5000_z1.2_l20",0.231359075835693
