"","name","nclients","nthreads","cc","phasing","cc_ph","rate","alpha","commute_ratio","timeout_scaling","throughput","op_timeouts","avg_latency_ms"
"1","v0.27-sampa",4,4,"r/w locks","off","r/w locks",100,"0.6","0.5",200,6338.02676153454,0,0.58134670366633
"2","v0.27-sampa",4,16,"r/w locks","off","r/w locks",100,"0.6","0.5",200,18077.7126050923,0,1.67750294464075
"3","v0.27-sampa",4,32,"r/w locks","off","r/w locks",100,"0.6","0.5",200,12362.5368867881,0,4.6554703520164
"4","v0.27-sampa",4,64,"r/w locks","off","r/w locks",100,"0.6","0.5",200,9482.25826436849,1,10.36477303989
"5","v0.27-sampa",4,96,"r/w locks","off","r/w locks",100,"0.6","0.5",200,7532.5663089368,20,18.0959063526835
"6","v0.27-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",200,6338.65508142541,0,0.567759229669498
"7","v0.27-sampa",4,16,"boosting","off","boosting",100,"0.6","0.5",200,25346.3659448144,0,0.639007352941176
"8","v0.27-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",200,29795.8776993231,0,3.72322591000696
"9","v0.27-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",200,26688.1670686977,0,9.13568018383882
"10","v0.27-sampa",4,96,"boosting","off","boosting",100,"0.6","0.5",200,23541.2876033547,15,15.424996645646
"11","v0.27-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",200,6338.63907414934,0,0.56596661621258
"12","v0.27-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",200,25125.3619088822,0,0.620605251446373
"13","v0.27-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",200,29592.3982489155,24,2.44773983418871
"14","v0.27-sampa",4,64,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",200,31677.1233871309,7123,4.31752400999869
"15","v0.27-sampa",4,96,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",200,30936.3124162537,8688,7.55034733818716
"16","v0.27-sampa",4,4,"boosting","on","boosting
 + phasing",100,"0.6","0.5",200,6338.5283750558,0,0.585692961062989
"17","v0.27-sampa",4,16,"boosting","on","boosting
 + phasing",100,"0.6","0.5",200,25344.2939394948,0,0.641075743250341
"18","v0.27-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",200,41830.5866557664,2,2.04824901487225
"19","v0.27-sampa",4,64,"boosting","on","boosting
 + phasing",100,"0.6","0.5",200,44068.4273431266,18,5.30162517580027
"20","v0.27-sampa",4,96,"boosting","on","boosting
 + phasing",100,"0.6","0.5",200,42752.6266716306,34,8.49794086459027
"21","v0.27-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",200,6340.04803672378,0,0.551769651113913
"22","v0.27-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",200,25346.6242864988,0,0.738439397441015
"23","v0.27-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",200,32022.8613201748,0,3.42521417186877
"24","v0.27-sampa",4,64,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",200,29574.5216182215,0,8.37542313685455
"25","v0.27-sampa",4,96,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",200,24102.3343612584,6,13.9910925679968
"26","v0.27-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",200,6338.47014850792,0,0.57266019172553
"27","v0.27-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",200,25347.0407928938,0,0.689164915966387
"28","v0.27-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",200,41449.0779651783,0,2.16138546569036
"29","v0.27-sampa",4,64,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",200,47436.9941392208,9,4.97949468649778
"30","v0.27-sampa",4,96,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",200,48364.2152685572,48,7.58421748489385
"229","v0.27-sampa",4,4,"r/w locks","off","r/w locks",100,"0.6","0.5",200,6338.99807103521,0,0.575386814665321
"230","v0.27-sampa",4,16,"r/w locks","off","r/w locks",100,"0.6","0.5",200,17305.8824703116,0,1.84008455034589
"231","v0.27-sampa",4,32,"r/w locks","off","r/w locks",100,"0.6","0.5",200,12198.0056838999,0,4.78537255920682
"232","v0.27-sampa",4,64,"r/w locks","off","r/w locks",100,"0.6","0.5",200,9081.48268839104,0,10.6504047537031
"233","v0.27-sampa",4,96,"r/w locks","off","r/w locks",100,"0.6","0.5",200,7640.4595891317,15,17.8180743243243
