"","name","nclients","nthreads","cc","phasing","rate","facet","zipf","commute_ratio","timeout_scaling","throughput","op_timeouts"
"1","v0.27.alt-sampa",4,4,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6344.08888652048,0
"2","v0.27.alt-sampa",4,16,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,17169.7975196994,0
"3","v0.27.alt-sampa",4,32,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,11437.0489544149,0
"4","v0.27.alt-sampa",4,64,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,8487.60583760812,0
"5","v0.27.alt-sampa",4,96,"r/w locks","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6866.05713770438,1
"6","v0.27.alt-sampa",4,4,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,6344.07491679798,0
"7","v0.27.alt-sampa",4,16,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,25385.6591725422,0
"8","v0.27.alt-sampa",4,32,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,28270.2675801662,0
"9","v0.27.alt-sampa",4,64,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,23984.7056496803,9
"10","v0.27.alt-sampa",4,96,"boosting","off",100,"50% update
zipf: 0.6",0.6,"0.5",200,21146.5612025535,0
"11","v0.27.alt-sampa",4,4,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,6343.01361101673,0
"12","v0.27.alt-sampa",4,16,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,25317.5932572918,0
"13","v0.27.alt-sampa",4,32,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,30568.7524012665,51
"14","v0.27.alt-sampa",4,64,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,30872.3748510816,67
"15","v0.27.alt-sampa",4,96,"r/w locks","on",100,"50% update
zipf: 0.6",0.6,"0.5",200,29731.201110884,149
