"","facet","rate","nthreads","cc_ph","cc","zipf","commute_ratio","phasing","timeout_scaling","throughput","op_timeouts"
"1","50% update
zipf: 0.6",100,4,"non-transactional","boosting",0.6,"0.5","off",1000,1582.20913852988,0
"2","50% update
zipf: 0.6",100,16,"non-transactional","boosting",0.6,"0.5","off",1000,6326.95331850537,0
"3","50% update
zipf: 0.6",100,32,"non-transactional","boosting",0.6,"0.5","off",1000,12630.2454683531,0
"4","50% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.5","off",1000,18177.0841937967,0
"5","50% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.5","off",1000,18358.8834210639,47
"6","0% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0","off",1000,23019.8670249642,0
"7","20% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.2","off",1000,19993.3929291127,1
"8","40% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.4","off",1000,18546.0552398573,1
"9","60% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.6","off",1000,17673.6776701083,4
"10","80% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.8","off",1000,16942.3615219123,4
"11","100% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"1","off",1000,15966.4937803915,0
"12","0% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0","off",1000,24046.8540124839,26
"13","20% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.2","off",1000,20324.0016209965,45
"14","40% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.4","off",1000,19029.5779985829,18
"15","60% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.6","off",1000,18004.8783703606,51
"16","80% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.8","off",1000,17008.5064292779,56
"17","100% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"1","off",1000,16143.4397987411,31
"28","50% update
zipf: 0.6",100,4,"non-transactional","boosting",0.6,"0.5","off",1000,1582.81432139883,0
"29","50% update
zipf: 0.6",100,16,"non-transactional","boosting",0.6,"0.5","off",1000,6325.69397573537,0
"30","50% update
zipf: 0.6",100,32,"non-transactional","boosting",0.6,"0.5","off",1000,12627.7253660073,0
"31","50% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.5","off",1000,17959.0784555438,0
"32","50% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.5","off",1000,18867.0738178498,35
"33","0% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0","off",1000,22901.1404082226,0
"34","20% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.2","off",1000,19693.0152038746,0
"35","40% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.4","off",1000,18626.0793132049,1
"36","60% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.6","off",1000,17602.4429660622,1
"37","80% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.8","off",1000,16677.2225123794,1
"38","100% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"1","off",1000,16028.6918436493,1
"39","0% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0","off",1000,23638.1656717057,21
"40","20% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.2","off",1000,20433.7327170723,37
"41","40% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.4","off",1000,18838.218861556,39
"42","60% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.6","off",1000,18167.6284766051,51
"43","80% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.8","off",1000,16797.418155326,68
"44","100% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"1","off",1000,16339.9334821031,40
"55","50% update
zipf: 0.6",100,4,"non-transactional","boosting",0.6,"0.5","off",1000,1581.82756840475,0
"56","50% update
zipf: 0.6",100,16,"non-transactional","boosting",0.6,"0.5","off",1000,6325.65809158427,0
"57","50% update
zipf: 0.6",100,32,"non-transactional","boosting",0.6,"0.5","off",1000,12631.2857128644,0
"58","50% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.5","off",1000,18313.9584834086,0
"59","50% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.5","off",1000,18766.0456578267,46
"60","0% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0","off",1000,23328.5353968862,0
"61","20% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.2","off",1000,19641.0493623208,0
"62","40% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.4","off",1000,18500.7004837303,1
"63","60% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.6","off",1000,17599.8043246888,0
"64","80% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"0.8","off",1000,16779.0044291664,0
"65","100% update
zipf: 0.6",100,64,"non-transactional","boosting",0.6,"1","off",1000,15843.2223144349,0
"66","0% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0","off",1000,23399.0444612006,39
"67","20% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.2","off",1000,20298.10619539,31
"68","40% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.4","off",1000,19000.7777587366,57
"69","60% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.6","off",1000,17811.6675897355,40
"70","80% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"0.8","off",1000,17396.2230565619,31
"71","100% update
zipf: 0.6",100,96,"non-transactional","boosting",0.6,"1","off",1000,16262.6465749993,37
"82","50% update
zipf: 0.6",100,4,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,1583.71251740472,0
"83","50% update
zipf: 0.6",100,4,"boosting","boosting",0.6,"0.5","off",1000,1583.46437804846,0
"84","50% update
zipf: 0.6",100,4,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,1583.46437804846,0
"85","50% update
zipf: 0.6",100,4,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,1583.65704310282,0
"86","50% update
zipf: 0.6",100,4,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,1583.37997388129,0
"87","50% update
zipf: 0.6",100,4,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,1583.06599106527,0
"88","50% update
zipf: 0.6",100,16,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,4095.28306278388,0
"89","50% update
zipf: 0.6",100,16,"boosting","boosting",0.6,"0.5","off",1000,6340.9291409358,0
"90","50% update
zipf: 0.6",100,16,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6261.67539894414,0
"91","50% update
zipf: 0.6",100,16,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,6337.30607896664,0
"92","50% update
zipf: 0.6",100,16,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,6339.55027600029,0
"93","50% update
zipf: 0.6",100,16,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,6338.62462046556,0
"94","50% update
zipf: 0.6",100,32,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,3011.56718884262,0
"95","50% update
zipf: 0.6",100,32,"boosting","boosting",0.6,"0.5","off",1000,6914.61080391323,0
"96","50% update
zipf: 0.6",100,32,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6996.59766943673,4240
"97","50% update
zipf: 0.6",100,32,"boosting
 + phasing","boosting",0.6,"0.5","on",1000,10623.3624599343,0
"98","50% update
zipf: 0.6",100,32,"boosting
 + combining","boosting
 + combining",0.6,"0.5","off",1000,2577.72613640365,0
"99","50% update
zipf: 0.6",100,32,"boosting
 + combining
 + phasing","boosting
 + combining",0.6,"0.5","on",1000,11028.5351428087,0
"100","50% update
zipf: 0.6",100,64,"r/w locks
(baseline)","r/w locks",0.6,"0.5","off",1000,2271.2283459944,0
"101","50% update
zipf: 0.6",100,64,"boosting","boosting",0.6,"0.5","off",1000,5960.44066596289,4
"102","50% update
zipf: 0.6",100,64,"r/w locks
 + phasing","r/w locks",0.6,"0.5","on",1000,6697.81597198513,23902
