"","name","nclients","nthreads","cc","phasing","cc_ph","rate","alpha","commute_ratio","timeout_scaling","throughput","op_timeouts","avg_latency_ms","txn_failed"
"1","v0.28.1-sampa",4,4,"boosting","off","non-transactional",100,"0.6","0.5",1000,1582.20913852988,0,0.472436437110625,0
"2","v0.28.1-sampa",4,16,"boosting","off","non-transactional",100,"0.6","0.5",1000,6326.95331850537,0,0.407854275264839,0
"3","v0.28.1-sampa",4,32,"boosting","off","non-transactional",100,"0.6","0.5",1000,12630.2454683531,0,0.574463057291393,0
"4","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"0.6","0.5",1000,18177.0841937967,0,2.94199126015226,0
"5","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"0.6","0.5",1000,18358.8834210639,47,4.64182609445019,0
"28","v0.28.1-sampa",4,4,"boosting","off","non-transactional",100,"0.6","0.5",1000,1582.81432139883,0,0.48218373874253,0
"29","v0.28.1-sampa",4,16,"boosting","off","non-transactional",100,"0.6","0.5",1000,6325.69397573537,0,0.45983937431671,0
"30","v0.28.1-sampa",4,32,"boosting","off","non-transactional",100,"0.6","0.5",1000,12627.7253660073,0,0.618792147223798,0
"31","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"0.6","0.5",1000,17959.0784555438,0,2.93821907825485,0
"32","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"0.6","0.5",1000,18867.0738178498,35,4.58039563695313,0
"55","v0.28.1-sampa",4,4,"boosting","off","non-transactional",100,"0.6","0.5",1000,1581.82756840475,0,0.463393834751116,0
"56","v0.28.1-sampa",4,16,"boosting","off","non-transactional",100,"0.6","0.5",1000,6325.65809158427,0,0.417150184998318,0
"57","v0.28.1-sampa",4,32,"boosting","off","non-transactional",100,"0.6","0.5",1000,12631.2857128644,0,0.619313169502205,0
"58","v0.28.1-sampa",4,64,"boosting","off","non-transactional",100,"0.6","0.5",1000,18313.9584834086,0,2.94297653673217,0
"59","v0.28.1-sampa",4,96,"boosting","off","non-transactional",100,"0.6","0.5",1000,18766.0456578267,46,4.62400337185206,0
"82","v0.28.1-sampa",4,4,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,1583.71251740472,0,0.583610970890123,0
"83","v0.28.1-sampa",4,4,"boosting","off","boosting",100,"0.6","0.5",1000,1583.46437804846,0,0.566209392358189,0
"84","v0.28.1-sampa",4,4,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,1583.46437804846,0,0.578168658475004,0
"85","v0.28.1-sampa",4,4,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,1583.65704310282,0,0.590159037361158,0
"86","v0.28.1-sampa",4,4,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,1583.37997388129,0,0.587771418953038,0
"87","v0.28.1-sampa",4,4,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,1583.06599106527,0,0.56337962962963,0
"88","v0.28.1-sampa",4,16,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,4095.28306278388,0,2.00431132473775,1356
"89","v0.28.1-sampa",4,16,"boosting","off","boosting",100,"0.6","0.5",1000,6340.9291409358,0,0.75739741274308,0
"90","v0.28.1-sampa",4,16,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6261.67539894414,0,0.640777834481585,0
"91","v0.28.1-sampa",4,16,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,6337.30607896664,0,0.615323597394411,0
"92","v0.28.1-sampa",4,16,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,6339.55027600029,0,0.628576380136123,0
"93","v0.28.1-sampa",4,16,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,6338.62462046556,0,0.609657968822219,0
"94","v0.28.1-sampa",4,32,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,3011.56718884262,0,4.73271585970765,4712
"95","v0.28.1-sampa",4,32,"boosting","off","boosting",100,"0.6","0.5",1000,6914.61080391323,0,4.14554498269896,108
"96","v0.28.1-sampa",4,32,"r/w locks","on","r/w locks
 + phasing",100,"0.6","0.5",1000,6996.59766943673,4240,2.7088649591446,0
"97","v0.28.1-sampa",4,32,"boosting","on","boosting
 + phasing",100,"0.6","0.5",1000,10623.3624599343,0,2.07926348339927,0
"98","v0.28.1-sampa",4,32,"boosting
 + combining","off","boosting
 + combining",100,"0.6","0.5",1000,2577.72613640365,0,3.1820106542822,10084
"99","v0.28.1-sampa",4,32,"boosting
 + combining","on","boosting
 + combining
 + phasing",100,"0.6","0.5",1000,11028.5351428087,0,2.02544283802197,0
"100","v0.28.1-sampa",4,64,"r/w locks","off","r/w locks
(baseline)",100,"0.6","0.5",1000,2271.2283459944,0,10.5903607536765,8620
"101","v0.28.1-sampa",4,64,"boosting","off","boosting",100,"0.6","0.5",1000,5960.44066596289,4,10.2792151550147,700
