"","name","nclients","nthreads","cc","rate","scale","mix","alpha","phasing","cc_ph","timeout_scaling","throughput","op_timeouts","avg_latency_ms"
"174","v0.27.3-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,1945.93009500388,0,1.28648195081855
"175","v0.27.3-sampa","2",4,"boosting",50,"16","read_heavy","-1","off","boosting",1000,1952.64980816358,0,1.29459081291379
"176","v0.27.3-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,1953.23420384023,0,1.22040123509442
"177","v0.27.3-sampa","2",4,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,1931.10410683228,0,1.20308839006884
"180","v0.27.3-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,1924.71351884495,0,1.2380198054084
"185","v0.27.3-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,4026.34446403044,0,1.14290206983307
"186","v0.27.3-sampa","2",8,"boosting",50,"16","read_heavy","-1","off","boosting",1000,4066.37414333643,0,1.14852807432958
"187","v0.27.3-sampa","2",8,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,4050.14445521888,0,1.12556153428444
"188","v0.27.3-sampa","2",8,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,4105.41433003122,0,1.13778326082722
"191","v0.27.3-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,4072.11307778429,0,1.17034751941346
"192","v0.27.3-sampa","2",8,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,4016.5552817447,0,1.140926400677
"197","v0.27.3-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,8691.44695305095,0,1.07723800068233
"198","v0.27.3-sampa","2",16,"boosting",50,"16","read_heavy","-1","off","boosting",1000,8621.4490127031,0,1.05897968962532
"199","v0.27.3-sampa","2",16,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,8668.30362051101,0,1.06315627642401
"200","v0.27.3-sampa","2",16,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,8750.03539914409,0,1.08064166073312
"203","v0.27.3-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,8126.18489926066,0,1.05670542699228
"204","v0.27.3-sampa","2",16,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,8674.55708054687,1,1.07382467839267
"209","v0.27.3-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,17510.5275782572,0,1.75288192799508
"210","v0.27.3-sampa","2",32,"boosting",50,"16","read_heavy","-1","off","boosting",1000,17405.5946851823,0,1.96234794177043
"211","v0.27.3-sampa","2",32,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,17172.4477998821,0,2.00693028390494
"212","v0.27.3-sampa","2",32,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,18047.3600479764,0,1.72941015752639
"215","v0.27.3-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,17655.5857620704,169,1.84815914164354
"216","v0.27.3-sampa","2",32,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,17424.6639236395,0,1.95307929102694
"221","v0.27.3-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,17817.4435975026,0,6.33337944494087
"222","v0.27.3-sampa","2",64,"boosting",50,"16","read_heavy","-1","off","boosting",1000,21245.1675418647,0,5.27024231215322
"223","v0.27.3-sampa","2",64,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,20414.1826586823,0,5.58377274269754
"224","v0.27.3-sampa","2",64,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,20473.1697812181,0,5.54111413171685
"227","v0.27.3-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,21003.1726997926,0,5.33331113056497
"228","v0.27.3-sampa","2",64,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,19134.0572832895,0,6.07850815363999
"233","v0.27.3-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","off","r/w locks",1000,1918.81426981493,0,1.28791504584607
"234","v0.27.3-sampa","2",4,"boosting",50,"16","read_heavy","-1","off","boosting",1000,1933.32244919718,0,1.3124722102542
"235","v0.27.3-sampa","2",4,"r/w locks",50,"16","read_heavy","-1","on","r/w locks
 + phasing",1000,1933.1471868107,0,1.21294253507532
"236","v0.27.3-sampa","2",4,"boosting",50,"16","read_heavy","-1","on","boosting
 + phasing",1000,1939.5104656258,0,1.22743406923804
"239","v0.27.3-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","off","boosting
 + combining",1000,1931.47507548339,0,1.29737391514399
"240","v0.27.3-sampa","2",4,"boosting
 + combining",50,"16","read_heavy","-1","on","boosting
 + combining
 + phasing",1000,1936.35454848384,0,1.21858544140423
