"","load","honeycomb_mode","ipa_bound","bound","mix","mix_incr","mix_read","ipa_consistency","lease","condition","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction","interval_mean","interval_percent_mean","interval_percent_p99","interval_percent_max"
"1",2048,"fast","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,0.856440659398,0.379706,2.562154,7.777937,161.415568887,1.01774409172,0.280676,60967.2134116,1.01774409172,NA,0,0.265478662253,3.62,7.43
"2",2048,"flat5","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,6.93441771169,5.65824,14.63051,21.476726,161.473047376,6.99266726859,6.108042,61126.023281,6.99266726859,NA,0,0.651309966094,6.57,17.19
"3",2048,"slowpoke_flat","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,17.2665797127,13.023865,37.641595,53.420779,121.934954606,15.2467509391,14.082264,46339.065986,15.2467509391,NA,0,0.155443409404,3.54,13.98
"4",2048,"amazon","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms","Geo-
distributed",14.7112677037,2.465546,101.906711,149.552036,118.397242639,5.21979622347,3.020201,44506.0409706,5.21979622347,NA,0,0.244712251824,0.75,100
"5",2048,"google","consistency:weakwrite","weak","custom","1.0","0.0","strong","0ms",NA,14.0871442071,4.140789,18.186898,202.034525,119.518748951,11.8571815443,6.317474,45180.0083317,11.8571815443,NA,0,0.781162627037,0.56,496.07
"6",2048,"fast","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,7.03518920954,4.622714,20.355116,29.976896,79.2153869505,11.0370680917,8.179115,29970.7652627,11.0370680917,NA,145.30588075,9.71301395115,10,10
"7",2048,"flat5","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,11.0473718569,9.059059,23.498106,36.280734,87.484091019,15.4039442465,11.983151,32777.9317526,15.4039442465,NA,142.955846234,9.7495112096,10,10
"8",2048,"slowpoke_flat","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,13.9430087004,10.914029,25.523892,101.165706,17.1436500414,54.4065167643,37.225065,6393.23940987,54.4065167643,NA,145.580486466,9.76653169835,10,10
"9",2048,"google","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms",NA,9.27302014453,2.256767,40.465587,170.568522,9.04893686052,63.9982228631,23.755376,3421.35702535,63.9982228631,NA,146.874812038,9.76316423075,10,10
"10",2048,"amazon","tolerance:0.1","error: 10%","custom","1.0","0.0","strong","0ms","Geo-
distributed",9.20735979152,2.291998,36.493175,199.213226,7.92087624452,63.2689700796,27.79982,3096.75368068,63.2689700796,NA,152.004153969,9.7826150434,10,10
"11",2048,"fast","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,9.49354630629,6.513059,27.627825,37.20039,82.5605182421,17.4207012457,16.128226,31261.4260087,17.4207012457,NA,12.2427187706,0.76002892657,0.995,1
"12",2048,"flat5","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,10.409843866,7.895314,24.832133,37.233845,64.0857600056,24.5951695869,18.207705,24379.6064608,24.5951695869,NA,12.315675361,0.762656486895,0.995,1
"13",2048,"slowpoke_flat","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,14.6414318247,11.110618,28.396573,101.278375,12.3072644358,104.896711344,40.986971,4753.71319722,104.896711344,NA,12.4906913582,0.771811543695,0.995,1
"14",2048,"google","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms",NA,9.31545373948,2.3112,23.396442,170.719249,5.69937758686,167.855519153,17.302101,2174.26919446,167.855519153,NA,12.0710994598,0.75029173522,0.995,0.995
"15",2048,"amazon","tolerance:0.01","error: 1%","custom","1.0","0.0","strong","0ms","Geo-
distributed",5.92327230999,2.44677,17.135062,88.70799,5.40135860589,177.536585065,22.021745,2044.2003196,177.536585065,NA,11.9129578761,0.75482022185,0.995,1
"16",2048,"fast","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,2.76075085598,2.138217,6.550075,11.675437,177.110186443,3.31983171728,2.411055,66576.7296382,3.31983171728,NA,0,0,0,0
"17",2048,"flat5","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,38.3253985409,31.483388,73.873856,89.237862,58.844760061,50.6475547636,49.981184,22316.4873143,50.6475547636,NA,0,0,0,0
"18",2048,"slowpoke_flat","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,144.567824818,112.585455,310.600593,459.502284,13.9206683194,181.737454274,179.327661,5222.70847576,181.737454274,NA,0,0,0,0
"19",2048,"google","consistency:strong","strong","custom","1.0","0.0","strong","0ms",NA,553.982665015,455.131995,1204.78584,1438.508195,3.74990591824,706.53443954,668.463742,1428.62801963,706.53443954,NA,0,0,0,0
"20",2048,"amazon","consistency:strong","strong","custom","1.0","0.0","strong","0ms","Geo-
distributed",397.941886404,271.15274,873.448349,1387.278077,4.28007604858,605.099486741,583.868751,1612.37280152,605.099486741,NA,0,0,0,0
