"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","mix","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction"
"1",4096,"fast","tolerance:0.1","error: 10%","strong","0ms","Local","default",0.610974146047,0.413816,1.022428,2.210137,5186.1957132,0.47514423669,0.382869,1295.85388426,0.5838081641756,0
"2",128,"flat5","tolerance:0.1","error: 10%","strong","0ms","Uniform
(5ms)","default",5.80247753796,5.52026,6.067646,11.454254,5493.93000127,6.42230709218,5.513558,1373.01838993,5.926443448804,0
"3",512,"slowpoke_flat","tolerance:0.1","error: 10%","strong","0ms","Slow replica","default",16.3267527656,10.443159,17.041788,163.135153,5287.38819179,22.9977705496,10.423516,1319.14135486,17.6609563224,0
"4",2048,"amazon","tolerance:0.1","error: 10%","strong","0ms","Geo-
distributed","default",23.8477485148,1.714757,185.395474,514.84416,5128.12952853,39.8554963545,1.681627,1268.9990376,27.04929808274,0
"5",4096,"fast","tolerance:0.05","error: 5%","strong","0ms","Local","default",0.980827192647,0.490317,1.238936,13.715005,4902.58934968,0.624666945529,0.389753,1223.70078666,0.9095951432234,0
"6",128,"flat5","tolerance:0.05","error: 5%","strong","0ms","Uniform
(5ms)","default",5.83988616728,5.642741,6.159867,10.17289,5354.01642396,6.90083806794,5.584289,1341.10105539,6.052076547412,0
"7",512,"slowpoke_flat","tolerance:0.05","error: 5%","strong","0ms","Slow replica","default",15.2449574823,10.755991,14.804281,125.103271,5372.55501251,24.0284056941,10.645061,1334.05734823,17.00164712466,0
"8",2048,"amazon","tolerance:0.05","error: 5%","strong","0ms","Geo-
distributed","default",23.7574756354,1.77416,200.966136,464.667259,5138.35371824,38.7543918122,1.722902,1275.17782017,26.75685887076,0
"9",4096,"fast","tolerance:0.01","error: 1%","strong","0ms","Local","default",0.678370552366,0.537449,1.184254,1.914711,4997.21654676,0.675112158651,0.433285,1243.81020695,0.677718873623,0
"10",128,"flat5","tolerance:0.01","error: 1%","strong","0ms","Uniform
(5ms)","default",6.46256308334,5.70983,7.722508,25.093832,5408.82943603,11.0478882099,5.675949,1340.98645705,7.379628108652,0
"11",512,"slowpoke_flat","tolerance:0.01","error: 1%","strong","0ms","Slow replica","default",50.7581824716,11.12025,269.608372,534.843336,4831.85615478,89.2275896746,11.401983,1202.07858953,58.4520639122,0
"12",2048,"amazon","tolerance:0.01","error: 1%","strong","0ms","Geo-
distributed","default",278.006445118,2.141675,1539.140877,3361.222467,4537.81756857,327.113887353,2.181653,1113.89103274,287.827933565,0
"13",4096,"fast","consistency:strong","strong","strong","0ms","Local","default",0.719581062619,0.602675,1.07475,1.235915,5894.48856032,0.676739261944,0.644033,1475.39478244,0.711012702484,1
"14",128,"flat5","consistency:strong","strong","strong","0ms","Uniform
(5ms)","default",23.431296509,21.354354,38.332437,45.657133,3655.12290725,20.6398998907,20.396211,913.94005812,22.87301718534,1
"15",512,"slowpoke_flat","consistency:strong","strong","strong","0ms","Slow replica","default",67.418605545,59.757071,113.538543,421.216605,4434.34134194,65.8074057606,49.232811,1109.93044639,67.09636558812,1
"16",2048,"amazon","consistency:strong","strong","strong","0ms","Geo-
distributed","default",779.487191057,773.020317,1337.592375,2503.52272,1188.93288373,726.184610712,759.435787,297.803191462,768.826674988,1
"17",4096,"fast","consistency:weakwrite","weak","strong","0ms","Local","default",0.34044515093,0.257058,0.617459,0.814855,6545.57872732,0.288210800693,0.276055,1634.7892407,0.3299982808826,0
