"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","mix","read_lat_mean","read_lat_median","read_lat_p95","read_lat_p99","read_rate","incr_lat_mean","incr_lat_median","incr_rate","overall_latency_mean","read_strong_fraction"
"1",128,"normal","tolerance:0.1","error: 10%","strong","200ms",NA,"default",10.6347386945,10.543427,19.209285,23.563938,5080.38313558,43.5212129143,40.252585,1266.1536641,17.21203353846,0
"2",128,"slowpoke_flat","tolerance:0.1","error: 10%","strong","200ms",NA,"default",20.5730024566,10.399363,101.077069,101.348236,1911.3276347,159.211438971,144.322611,486.351586736,48.30068975948,0
"3",128,"google","tolerance:0.1","error: 10%","strong","200ms",NA,"default",52.8441265295,2.153339,170.759434,332.408801,749.102912419,439.107364461,385.649984,185.093635602,130.0967741158,0
"5",128,"flat5","tolerance:0.1","error: 10%","strong","200ms","Uniform
(5ms)","default",5.4444574248,5.28855,6.075551,6.207089,5664.85177607,17.6310488827,16.020722,1421.73617889,7.88177571638,0
"6",128,"normal","tolerance:0.05","error: 5%","strong","200ms",NA,"default",10.719437072,10.572625,19.037909,22.841383,4377.74354423,50.4106051552,41.955392,1095.95977831,18.65767068864,0
"7",128,"slowpoke_flat","tolerance:0.05","error: 5%","strong","200ms",NA,"default",21.365854001,10.427201,101.089805,101.439513,1521.80861215,208.891622154,163.423266,378.384928127,58.8710076316,0
"8",128,"google","tolerance:0.05","error: 5%","strong","200ms",NA,"default",61.231142456,2.25448,176.72845,384.477484,635.603822982,512.038305108,577.886265,160.118508585,151.3925749864,0
"10",128,"flat5","tolerance:0.05","error: 5%","strong","200ms","Uniform
(5ms)","default",5.51296636781,5.289782,6.107076,6.648624,5423.69480727,19.8634194382,16.104774,1365.18950859,8.383056981888,0
"11",512,"normal","tolerance:0.1","error: 10%","strong","200ms","Normal","default",10.2094755872,9.927282,18.755675,22.415404,5831.02683555,39.9987902784,39.271424,1458.37554435,16.16733852544,0
"12",512,"slowpoke_flat","tolerance:0.1","error: 10%","strong","200ms","Slow replica","default",16.3498723212,10.267618,100.258598,101.081192,5809.90290178,107.472727518,123.159255,1445.24860594,34.57444336056,0
"13",512,"google","tolerance:0.1","error: 10%","strong","200ms",NA,"default",50.650353176,1.61949,169.580881,367.044528,3832.12249625,264.46275677,177.199099,964.718874092,93.4128338948,0
"14",512,"flat5","tolerance:0.1","error: 10%","strong","200ms",NA,"default",5.45420595467,5.288374,6.080283,6.290018,5767.77830336,16.2487273353,15.997875,1440.05602701,7.613110230796,0
"15",512,"slowpoke_flat","tolerance:0.05","error: 5%","strong","200ms","Slow replica","default",19.3533812547,10.272283,100.300631,101.119143,5602.3248225,128.271897517,125.160306,1403.5292977,41.13708450716,0
"17",512,"flat5","tolerance:0.05","error: 5%","strong","200ms",NA,"default",5.48116694295,5.294791,6.06949,6.20963,5797.53443505,18.5667821326,16.007474,1441.36536444,8.09828998088,0
"18",2048,"normal","tolerance:0.1","error: 10%","strong","200ms",NA,"default",10.5360933019,10.322728,18.690562,22.911698,5868.75526538,41.8317618992,40.485095,1472.58952712,16.79522702136,0
"19",2048,"google","tolerance:0.1","error: 10%","strong","200ms",NA,"default",347.792790445,276.419767,964.845921,1319.24813,3170.93439374,938.23239886,780.276598,786.746056619,465.880712128,0
"21",2048,"flat5","tolerance:0.1","error: 10%","strong","200ms",NA,"default",5.44994407076,5.291496,6.060592,6.182312,5735.29582357,15.6966520689,16.001703,1429.93507445,7.499285670388,0
"22",2048,"normal","tolerance:0.05","error: 5%","strong","200ms",NA,"default",10.626223495,10.601362,18.433716,22.873755,5705.95151824,42.9065520139,40.02119,1432.13563863,17.08228919878,0
"23",2048,"slowpoke_flat","tolerance:0.05","error: 5%","strong","200ms",NA,"default",20.0615560815,10.277718,100.345447,136.195959,5540.76773817,124.626523879,125.076066,1384.07146671,40.974549641,0
"25",2048,"flat5","tolerance:0.05","error: 5%","strong","200ms",NA,"default",5.50207282072,5.294849,6.122235,6.326785,5643.5429984,18.211826348,16.066449,1414.9984574,8.044023526176,0
"26",4096,"normal","tolerance:0.1","error: 10%","strong","200ms","Normal (high load)","default",10.7009472381,10.626078,18.636875,24.526542,5772.58335318,41.6194438029,40.606447,1448.15371426,16.88464655106,0
"28",4096,"flat5","tolerance:0.1","error: 10%","strong","200ms","High load","default",5.43214917659,5.281559,6.051117,6.179326,5757.17106735,16.217822441,16.149151,1442.38760033,7.589283829472,0
"29",4096,"normal","tolerance:0.05","error: 5%","strong","200ms","Normal (high load)","default",10.3882696151,10.507057,18.209933,21.99565,5822.98408544,42.8370744932,39.76709,1448.91031166,16.87803059072,0
"30",4096,"flat5","tolerance:0.05","error: 5%","strong","200ms","High load","default",5.51637143561,5.287854,6.058781,6.717295,5832.08786979,19.2963688163,16.82734,1446.11311492,8.272370911748,0
