"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","purchase_lat_mean","purchase_lat_median","purchase_lat_p99","view_lat_mean","view_lat_median","view_lat_p99","overall_lat_mean","overall_rate"
"1",128,"flat5","consistency:strong","strong","strong","0ms","Uniform
(5ms)",51.2361035548,38.041422,334.342912,31.7210992689,26.460336,246.727981,31.3030620572624,3578.0632671665
"2",128,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,109.851662079,59.076201,699.787562,81.6203424459,35.75064,655.852344,77.4861587916645,1545.3089997451
"3",128,"google","consistency:strong","strong","strong","0ms",NA,537.601169763,469.781112,2842.106595,392.625333401,327.296107,2746.181138,367.948578960743,354.41272188074
"4",128,"amazon","consistency:strong","strong","strong","0ms",NA,553.937727061,342.688757,3375.444641,367.46140183,195.04207,2785.093419,346.729935309889,367.6733710902
"5",128,"flat5","consistency:strong","strong","strong","200ms","Uniform
(5ms)",46.1777757404,37.651702,226.638751,30.6494668558,26.47367,191.48006,30.0864090094201,3489.1968549404
"6",128,"slowpoke_flat","consistency:strong","strong","strong","200ms",NA,114.157188566,57.677342,669.796307,81.9754864262,33.631739,727.677452,78.0733218697364,1607.1428656439
"7",128,"google","consistency:strong","strong","strong","200ms",NA,502.645195405,456.455462,2185.007761,376.491080313,325.397468,2695.052879,351.858372436614,366.05056902673
"8",128,"amazon","consistency:strong","strong","strong","200ms",NA,474.508903285,319.083614,3013.584107,363.606483091,187.565765,2957.880913,336.334744922595,383.43810195173
"9",128,"flat5","consistency:weakwrite","weak","weak","0ms","Uniform
(5ms)",7.7700418671,6.441479,27.04914,6.9111085986,6.086838,16.586351,7.01510920611798,4047.4673279128
"10",128,"slowpoke_flat","consistency:weakwrite","weak","weak","0ms",NA,23.0832700189,11.388651,168.686002,19.8465244478,11.05702,145.057987,20.0840434656491,3836.2444054412
"11",128,"google","consistency:weakwrite","weak","weak","0ms",NA,55.7090418358,2.585039,396.93925,50.6150025183,2.273419,377.054768,45.0747930131359,2528.2980514901
"12",128,"amazon","consistency:weakwrite","weak","weak","0ms",NA,55.3863861305,2.666812,402.240253,48.4078439252,2.274848,369.313333,44.3878790213283,2641.3661486084
"13",128,"flat5","consistency:weakwrite","weak","weak","200ms","Uniform
(5ms)",6.17923979289,5.906973,6.969937,5.81519305824,5.462893,6.527166,6.07438638710931,4080.8684183796
"14",128,"slowpoke_flat","consistency:weakwrite","weak","weak","200ms",NA,16.695439291,10.854435,102.358771,16.2418411884,10.556325,101.661387,16.8304048992729,4005.9841457435
"15",128,"google","consistency:weakwrite","weak","weak","200ms",NA,57.4668217385,2.474097,381.799446,51.2679692467,2.051397,317.585567,45.7772553062862,2598.9819783636
"16",128,"amazon","consistency:weakwrite","weak","weak","200ms",NA,50.0944331365,2.441676,441.221637,47.607337623,2.096895,394.203456,43.0307949049182,2710.3727135674
"17",128,"flat5","tolerance:0.1","error: 10%","weak","0ms","Uniform
(5ms)",6.77412943285,6.480291,17.142549,6.14818583736,6.104795,6.898407,6.36305714743558,4049.0857642065
"18",128,"slowpoke_flat","tolerance:0.1","error: 10%","weak","0ms",NA,40.5051711409,11.484667,680.346816,30.5983040429,11.113879,211.167357,29.4954989634576,3499.0813712686
"19",128,"google","tolerance:0.1","error: 10%","weak","0ms",NA,58.4721353219,2.651076,382.042314,57.8740498696,2.332789,385.607581,50.1024755279881,2559.8479035913
"20",128,"amazon","tolerance:0.1","error: 10%","weak","0ms",NA,53.6613127565,2.625444,432.845999,56.7420006189,2.314552,444.521986,49.7922286505511,2628.584278062
"21",128,"flat5","tolerance:0.1","error: 10%","weak","200ms","Uniform
(5ms)",6.18348133035,5.973124,6.983558,5.74417608229,5.453269,6.446335,6.02612940178061,4131.4646728104
"22",128,"slowpoke_flat","tolerance:0.1","error: 10%","weak","200ms",NA,16.3975057161,10.888413,102.237862,15.6269521846,10.909494,101.814558,16.3659895617239,4078.8842805728
"23",128,"google","tolerance:0.1","error: 10%","weak","200ms",NA,52.7579755385,2.501367,348.213467,52.0242637597,2.114315,324.94572,45.2686973619062,2663.3939514218
"24",128,"amazon","tolerance:0.1","error: 10%","weak","200ms",NA,53.1152097211,2.477401,388.644483,47.0769152478,2.088897,392.238854,43.0935112572559,2697.7812295865
"25",128,"flat5","tolerance:0.05","error: 5%","weak","0ms","Uniform
(5ms)",6.62514960295,6.478451,16.648609,6.16569181183,6.088348,6.756445,6.3666472835768,4167.6205551208
"26",128,"slowpoke_flat","tolerance:0.05","error: 5%","weak","0ms",NA,19.2189585568,11.425798,125.730153,20.2050582796,11.070716,121.356193,19.8860946316641,3781.5690792037
"27",128,"google","tolerance:0.05","error: 5%","weak","0ms",NA,59.6440553482,2.704641,396.418435,57.0662974914,2.357347,405.753457,49.8550374820365,2438.7709852993
"28",128,"amazon","tolerance:0.05","error: 5%","weak","0ms",NA,62.8979059661,2.737313,543.344276,59.9154496493,2.386482,505.617584,52.548281779287,2397.6460160403
"29",128,"flat5","tolerance:0.05","error: 5%","weak","200ms","Uniform
(5ms)",6.1995781912,5.91907,7.129763,5.79810358662,5.478617,6.482946,6.07090905288941,4114.3784357408
"30",128,"slowpoke_flat","tolerance:0.05","error: 5%","weak","200ms",NA,35.5826175716,11.356643,314.622829,36.8545074004,11.135897,301.546729,33.2556727050286,3516.9635223111
"31",128,"google","tolerance:0.05","error: 5%","weak","200ms",NA,55.3442300387,2.510188,333.200877,47.9813986597,2.007832,321.557192,42.8707682254632,2595.3782309652
"32",128,"amazon","tolerance:0.05","error: 5%","weak","200ms",NA,55.804374121,2.484813,434.650227,46.8779797763,2.115758,346.824887,42.9232176907554,2710.3855127568
"33",128,"flat5","tolerance:0.01","error: 1%","weak","0ms","Uniform
(5ms)",6.60921733092,6.474803,13.44791,6.21304177771,6.090684,11.028156,6.38500503252751,4153.0749017169
"34",128,"slowpoke_flat","tolerance:0.01","error: 1%","weak","0ms",NA,71.5886163526,11.761464,735.130644,55.1979846374,11.366511,581.61982,50.1300623109121,2394.756526191
"35",128,"google","tolerance:0.01","error: 1%","weak","0ms",NA,66.7972690959,2.840767,472.676659,67.7058647926,2.51626,391.727375,57.5037410849068,2075.0004960098
