"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","purchase_lat_mean","purchase_lat_median","purchase_lat_p99","view_lat_mean","view_lat_median","view_lat_p99","overall_lat_mean","overall_rate","read_weak","read_strong"
"1",128,"fast","consistency:weakwrite","weak","weak","0ms",NA,68.2821884943,37.077989,192.62456,70.2557350542,36.614667,220.833782,68.5439542002947,1824.1966294458,77208,0
"2",128,"fast","tolerance:0.1","error: 10%","weak","0ms",NA,68.3483862031,37.184907,193.225476,73.5511481069,36.766721,291.164876,71.1145795970607,1805.8934998544,76240,0
"3",128,"fast","tolerance:0.05","error: 5%","weak","0ms",NA,66.9032771339,37.1035,193.142267,71.9388829272,36.680696,331.830623,70.1466804010275,1787.5935338918,75217,0
"4",128,"fast","tolerance:0.01","error: 1%","weak","0ms",NA,77.2917447351,37.284345,306.774036,82.6847159885,36.807883,330.356715,78.607830581317,1622.9888017724,68544,0
"5",128,"fast","latency:20ms","latency: 20ms","weak","0ms",NA,65.2414548097,37.174717,192.425012,67.7889426987,36.757819,206.539173,66.7710699725723,1814.1739184904,76324,3
"6",512,"fast","consistency:strong","strong","strong","0ms",NA,1303.05095181,344.478667,21787.021952,1272.97106859,221.803498,22162.906125,1066.34555296412,445.25797725104,0,18779
"7",512,"fast","consistency:weakwrite","weak","weak","0ms",NA,66.1044920064,36.936011,191.848698,73.2120692337,36.552869,436.715545,71.4724731055541,3528.222703551,148569,0
"8",512,"fast","tolerance:0.1","error: 10%","weak","0ms",NA,69.0788485993,37.16053,192.169815,78.3120406277,36.732736,485.334135,74.1866427366006,3553.7287041013,149764,0
"9",512,"fast","tolerance:0.05","error: 5%","weak","0ms",NA,71.5211422277,37.103412,224.571288,81.2239299392,36.68538,459.188924,77.2382068291285,3560.4782115863,149910,0
"10",512,"fast","tolerance:0.01","error: 1%","weak","0ms",NA,277.87786942,93.606554,5871.63814,249.665795821,93.156583,4786.615569,216.300064294177,2678.0837609676,112667,0
"11",512,"fast","latency:20ms","latency: 20ms","weak","0ms",NA,66.4154780919,37.105763,192.798161,74.3376427417,36.721883,413.256845,72.1384318881022,2389.3795016731,100410,4
"12",2048,"fast","consistency:strong","strong","strong","0ms",NA,2221.29260228,356.771049,33284.084728,2669.89630083,232.572332,38673.297444,2138.5671499902,760.6504977342,0,31707
"13",2048,"fast","consistency:weakwrite","weak","weak","0ms",NA,67.5096030088,36.891268,192.189817,73.778258478,36.532223,465.529411,71.3457550234139,3600.5757024923,151543,0
"14",2048,"fast","tolerance:0.1","error: 10%","weak","0ms",NA,72.7679874901,37.181673,208.358808,82.6110557235,36.790557,491.518932,79.3588667339543,3653.3050652716,153785,0
"15",2048,"fast","tolerance:0.05","error: 5%","weak","0ms",NA,74.1468869981,37.099867,208.163975,76.5935033224,36.677442,416.07423,74.3005370971541,3667.3705444694,154693,0
"16",2048,"fast","tolerance:0.01","error: 1%","weak","0ms",NA,118.364132318,93.372948,690.449662,122.975147382,93.026229,583.483931,112.107531490665,3595.2133398829,151495,0
"17",2048,"fast","latency:20ms","latency: 20ms","weak","0ms",NA,65.6776065674,37.212459,191.967348,71.8934300255,36.764141,413.066594,70.6552854745747,2407.2927234402,101070,3
"18",4096,"fast","consistency:strong","strong","strong","0ms","Local",3186.02652788,555.853992,35198.483932,3390.58906627,374.495929,37191.020812,2761.41745486114,931.47287974137,0,38649
"19",4096,"fast","consistency:weakwrite","weak","weak","0ms","Local",69.8572404858,37.042337,191.64909,71.3377318047,36.644303,371.11107,70.686434449829,3649.1340550865,153608,0
"20",4096,"fast","tolerance:0.1","error: 10%","weak","0ms","Local",148.838367871,37.377242,1984.639682,171.841500049,36.844232,5192.971831,149.594287099588,3661.7884132027,153944,0
"21",4096,"fast","tolerance:0.05","error: 5%","weak","0ms","Local",120.375999406,37.889658,409.664377,131.681438316,92.947449,748.349988,118.262118911306,3690.0358036467,155198,0
"22",4096,"fast","tolerance:0.01","error: 1%","weak","0ms","Local",98.629233115,77.927983,425.919538,101.293087554,90.881473,455.798709,94.3591369836319,3685.8739261342,154929,0
"23",4096,"fast","latency:20ms","latency: 20ms","weak","0ms","Local",66.8598978656,37.063757,192.521404,73.4864310436,36.666589,370.042826,71.4316872666446,2391.5255952556,100715,7
"24",128,"fast","consistency:strong","strong","strong","0ms",NA,505.113807458,345.516793,3030.530428,378.786258277,225.768052,2592.02827,362.925735973717,351.6987674149,0,14857
"25",128,"fast","consistency:weakwrite","weak","weak","0ms",NA,65.775215082,37.03423,192.664158,70.3999045989,36.640156,230.834728,68.2800488161799,1835.2734780881,77273,0
"26",128,"fast","tolerance:0.1","error: 10%","weak","0ms",NA,67.3765821283,37.205362,193.737422,74.1562801487,36.808337,296.863396,71.6000417665682,1791.7345975739,75534,0
"27",128,"fast","tolerance:0.05","error: 5%","weak","0ms",NA,66.8244056076,37.105606,193.616333,73.9288926113,36.708845,321.403974,70.8541133582841,1767.5425521532,74335,0
"28",128,"fast","tolerance:0.01","error: 1%","weak","0ms",NA,81.2451997527,37.416345,282.643812,88.4175217524,36.955358,341.313242,82.2173709880354,1581.6727831784,66520,0
"29",128,"fast","latency:20ms","latency: 20ms","weak","0ms",NA,69.3607522591,37.244423,193.007365,71.5200886295,36.789506,192.9549,69.7632943795231,1798.2920838488,75633,4
"30",512,"fast","consistency:strong","strong","strong","0ms",NA,1661.35189223,355.869459,25773.274399,1177.56189735,227.910912,23540.642922,1036.84094303521,435.31115941641,0,18303
"31",512,"fast","consistency:weakwrite","weak","weak","0ms",NA,67.2335709358,36.894769,192.758081,74.7985843144,36.529192,468.211042,72.1990970653987,3541.9086381748,149450,0
"32",512,"fast","tolerance:0.1","error: 10%","weak","0ms",NA,67.8170408844,37.066324,192.246244,75.6527895628,36.706468,412.496782,73.3903125459255,3541.3984732684,149388,0
"33",512,"fast","tolerance:0.05","error: 5%","weak","0ms",NA,79.4029650987,36.971365,278.482004,84.9376378716,36.584002,493.84217,81.1343378689142,3542.8204143849,149043,0
"34",512,"fast","tolerance:0.01","error: 1%","weak","0ms",NA,89.8446402099,37.567292,351.199304,97.573635122,44.752428,456.937086,90.5827714598251,3512.3459711826,147845,0
"35",512,"fast","latency:20ms","latency: 20ms","weak","0ms",NA,65.9543166917,36.973194,192.611644,74.1359915975,36.579431,443.234269,72.7901024714662,2388.2634102275,100512,12
"36",2048,"fast","consistency:strong","strong","strong","0ms",NA,2596.65797938,351.359732,37229.639102,2483.81496327,227.594553,36462.084711,2035.55603654382,750.40885809242,0,31109
"37",2048,"fast","consistency:weakwrite","weak","weak","0ms",NA,66.4277589675,36.930488,192.367949,75.2395584282,36.588808,466.32346,72.897847474948,3671.5375311924,154440,0
"38",2048,"fast","tolerance:0.1","error: 10%","weak","0ms",NA,70.7600720761,37.04826,193.806935,73.3549818889,36.686605,444.641522,71.5521214172436,3611.9294832104,151851,0
"39",2048,"fast","tolerance:0.05","error: 5%","weak","0ms",NA,70.69705201,37.069664,204.40923,78.3324194411,36.670215,473.219023,75.6862652972158,3603.8035517335,151933,0
"40",2048,"fast","tolerance:0.01","error: 1%","weak","0ms",NA,388.11933126,93.494597,14012.826574,287.326593126,93.083182,7174.456777,253.636893527213,3037.9162927872,127643,0
"41",2048,"fast","latency:20ms","latency: 20ms","weak","0ms",NA,65.9094915393,36.955514,192.602221,74.1052295452,36.592989,422.174705,71.9465213482819,2419.3717121449,101467,75
"42",4096,"fast","consistency:strong","strong","strong","0ms","Local",3622.69957311,607.421877,40726.509597,3801.13541322,549.591511,38411.745204,3120.98022196257,886.86466938548,0,36817
"43",4096,"fast","consistency:weakwrite","weak","weak","0ms","Local",68.2561664517,36.95083,192.406839,74.8141648872,36.598816,459.149516,72.8504333949664,3627.7861067752,152773,0
"44",4096,"fast","tolerance:0.1","error: 10%","weak","0ms","Local",67.1866659431,37.047063,195.958915,76.4925705962,36.687937,453.513645,73.8068987578441,3650.6569915172,153710,0
"45",4096,"fast","tolerance:0.05","error: 5%","weak","0ms","Local",78.0421823405,37.051274,263.251964,85.0757789083,36.668599,493.061375,81.0072737924488,3616.0589329528,152208,0
