"","load","honeycomb_mode","ipa_bound","bound","ipa_consistency","lease","condition","retweet_lat_mean","retweet_lat_median","retweet_lat_p99","tweet_load_lat_mean","tweet_load_lat_median","tweet_load_lat_p99","timeline_lat_mean","timeline_lat_median","timeline_lat_p99","overall_lat_mean","overall_rate","containers"
"1",128,"fast","consistency:strong","strong","strong","0ms",NA,12.1965213635,8.739238,61.961202,4.44185914837,3.918885,8.281089,17.4904079302,19.277265,44.553769,19.9579797462686,1941.3010706596,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"2",128,"flat5","consistency:strong","strong","strong","0ms","Uniform
(5ms)",78.2536022746,60.570834,225.96987,23.2570195208,22.241084,31.735224,82.5929326321,91.534219,182.905733,85.8361658937834,433.54393916866,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"3",128,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,159.742573176,150.832013,404.266395,41.3677920112,40.43845,60.653371,152.790578829,161.139692,434.840752,161.140369386269,229.06212435483,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"4",128,"google","consistency:strong","strong","strong","0ms",NA,631.79965186,576.85344,1342.950558,143.521804454,128.827469,226.323604,638.513195234,618.908285,2195.601277,640.807273740872,65.389354017512,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"5",128,"amazon","consistency:strong","strong","strong","0ms",NA,453.011590559,434.324523,980.550923,108.204447873,101.385927,174.533649,438.11487275,450.019892,1487.460106,455.122628195887,85.93937323385,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"6",512,"fast","consistency:strong","strong","strong","0ms",NA,33.3363040994,28.677567,97.016083,14.7201662868,13.87233,35.108724,42.2141622733,46.379612,98.433118,44.8273374903083,2039.0899683113,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"7",512,"flat5","consistency:strong","strong","strong","0ms",NA,198.937988992,158.158017,597.68431,66.6919575793,65.147682,97.945656,261.75839225,242.986164,720.496116,249.20235613357,531.24677525719,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"8",512,"slowpoke_flat","consistency:strong","strong","strong","0ms","Slow replica",366.886615591,337.194763,963.228105,101.649883032,100.52308,162.283369,447.609291249,421.403915,1151.016052,428.346251847498,336.28024898627,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"9",2048,"fast","consistency:strong","strong","strong","0ms",NA,202.500776321,175.44662,683.623908,87.0340697876,91.660049,126.507931,347.626562956,337.825856,839.399259,312.16699119437,1434.8915302016,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"10",2048,"flat5","consistency:strong","strong","strong","0ms",NA,845.61062853,682.016695,2861.258603,263.687039246,276.984738,370.311614,1467.43205269,1617.549753,3176.180585,1276.48668396691,487.85357904529,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"11",2048,"slowpoke_flat","consistency:strong","strong","strong","0ms",NA,1701.8306827,1592.992469,5094.872199,436.643029511,460.036814,653.015209,2446.92659225,2459.479792,6986.218043,2225.53555082403,293.77255436554,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"12",4096,"fast","consistency:strong","strong","strong","0ms","Local",444.351915645,362.186506,1867.633052,177.642935834,180.000662,257.135604,1062.46531509,1131.542681,2372.764644,909.943351741982,1376.0802738363,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
"13",128,"fast","consistency:weakwrite","weak","weak","20ms",NA,12.0155800472,8.938716,59.911734,3.35136225065,3.302981,5.470962,15.4011861548,17.735805,33.824078,18.9532106135702,2104.8346123972,"{owl_cass_1: rhinoceros, owl_cass_2: platypus, owl_cass_3: sloth, owl_owl_1: ibex}"
